text,category
rice wheat flour dal sugar milk bread eggs butter cheese grocery store,Groceries
supermarket vegetables fruits potatoes onions garlic fresh produce,Groceries
fresh mart grocery items household supplies cooking oil spices,Groceries
big bazaar dmart grocery shopping monthly provisions,Groceries
vegetables milk paneer curd yogurt bakery bread loaf,Groceries
reliance fresh nature basket grocery organics,Groceries
metro cash carry wholesale grocery bulk purchase,Groceries
nilgiris heritage fresh grocery dairy products,Groceries
more supermarket grocery household cleaning items,Groceries
spencers grocery retail food items vegetables,Groceries
sona basmati rice pulses toor dal chana masoor,Groceries
rice sona masoor dal sunflower oil aashirvaad,Groceries
grocery store vegetables tomato onion potato cabbage,Groceries
dal pulse rice sona masoor toor food grain,Groceries
grocery items rice wheat sugar salt tea coffee,Groceries
supermarket fresh vegetables fruits daily provisions,Groceries
grocery dal rice spices cooking oil household,Groceries
rice basmati sona cooking oil salt sugar dairy,Groceries
dmart supermarket groceries provisions vegetables,Groceries
grocery produce items vegetables fruits dairy milk,Groceries
rice sona masoor 1 kg amount qty rate,Groceries
toor dal sunflower oil salt aashirvaad sugar,Groceries
food grain rice dal spices kg quantity,Groceries
grocery items qty rate amount total,Groceries
vegetables fruits bread butter milk eggs,Groceries
crocin 650mg tablet aspirin paracetamol medicine,Medical
amoxicillin 500mg capsule antibiotic cough syrup,Medical
apollo pharmacy medplus medicine tablet prescription,Medical
crocin tablet medicine health healthcare pharmacy,Medical
amoxicillin capsule antibiotic medicine drugs,Medical
cetzine tablet medicine cold allergy health,Medical
disprin tablet medicine painkiller headache,Medical
medicine tablet capsule syrup antibiotic pharmaceutical,Medical
pharmacy chemist drug store medicine prescription,Medical
medplus apollo pharmacy medical store medicines,Medical
crocin 650mg tablet qty rate amount medicine,Medical
amoxicillin 500mg capsule medicine health,Medical
tablet capsule medicine dose prescription,Medical
pharmacy medicine bill invoice receipt,Medical
hospital doctor consultation medical checkup,Medical
hospital bill doctor visit consultation fees clinic,Medical
diagnostic lab test blood report urine test checkup,Medical
medical store chemist drug store healthcare prescription,Medical
health insurance premium claim reimbursement policy,Medical
dentist dental clinic teeth checkup treatment,Medical
eye clinic optician spectacles lens vision correction,Medical
physiotherapy rehabilitation therapy session,Medical
vaccination immunization injection clinic health,Medical
pathology sample collection diagnostic report medical test,Medical
medicament pharmaceutical drug prescription health,Medical
chemist pharmacy medical store drug,Medical
hospital healthcare doctor medical clinic,Medical
qty rate amount total medicine tablet,Medical
restaurant lunch dinner bill food court meal,Food
swiggy zomato food delivery order pizza burger,Food
dominos pizza hut kfc mcdonalds fast food,Food
cafe coffee tea snacks breakfast hotel dining,Food
biryani restaurant meal dine in take away food,Food
udupi darshini meals south indian food restaurant,Food
subway sandwich wraps beverages cold drink,Food
barbeque nation buffet dinner family restaurant,Food
starbucks dunkin coffee shop latte cappuccino,Food
ice cream dessert cake pastry bakery sweet shop,Food
flavor point manchurian paneer butter masala veg,Food
restaurant veg manchurian biryani naan,Food
paneer butter masala veg items dining table,Food
restaurant gst amount payable card payment,Food
waiter table dining dine in restaurant meal,Food
restaurant veg biryani butter naan bread,Food
family restaurant manchurian tandoori kebab,Food
restaurant dessert lassi chocolate beverage,Food
dining table qty rate amount food bill,Food
uber ola cab taxi ride booking fare auto,Travel
petrol diesel fuel pump station fuel refill vehicle,Travel
flight ticket airline booking irctc train reservation,Travel
bus ticket state transport redbus travel booking,Travel
hotel accommodation stay lodging booking checkout,Travel
parking fee toll gate highway road tax vehicle,Travel
rapido bike taxi commute local travel,Travel
metro rail transit pass subway commute fare,Travel
car rental self drive hire vehicle travel agency,Travel
travel agency tour package holiday booking tickets,Travel
school fees college tuition university admission charges,Education
online course udemy coursera certificate program,Education
books stationery pen notebook pencil school supplies,Education
coaching institute tuition classes training fees,Education
library membership annual fee academic subscription,Education
computer institute programming python java course,Education
exam registration fee entrance test preparation,Education
educational toy learning kit children hobby class,Education
internship certification skill development workshop,Education
engineering mathematics physics drawing graph book,Education
sapna book house bookstore textbook engineering,Education
engineering drawing physics textbook school college,Education
blue ball pen notebook stationery supplies books,Education
book house store mathematics physics engineering,Education
engineering book school college textbook,Education
physics engineers engineering drawing book,Education
sapna books bookstore educational materials,Education
notebook pen pencil stationery book store,Education
school supplies books textbooks educational,Education
electricity bill internet recharge utility payment,Other
mobile phone bill recharge data plan,Other
insurance premium payment claim,Other
miscellaneous charges fee service,Other
language learning class english speaking course fees,Education
electricity bill utility monthly payment,Electricity
mobile recharge broadband internet data plan,Other
amazon flipkart online shopping electronics clothing,Other
salon haircut grooming personal care spa beauty,Other
electricity bill bright home power,Electricity
electricity units consumed charges meter,Electricity
electric bill energy charges utility,Electricity
power bill fixed charges fuel adjustment,Electricity
electricity duty meter rent energy,Electricity
bright home electricity bill amount payable,Electricity
electric bill units meter charges fixed,Electricity
electricity power bill utility charges,Electricity
energy bill electricity units consumed,Electricity
gym fitness membership yoga class subscription fee,Other
